CollectionObject,NumeroDeCatalogo
,NumeroDeCampo
,DataDeEntrada
,AltCatNumber
,DataDeObtencao
,CollectionObjectRemarks

Determination,Kingdom
,Phylum
,Class
,Ordem
,Subordem
,Familia
,Genero_ent
,Qualificador_ent
,Especie_ent
,Subespecie_ent
,Type Status 1
,Current 1
,Determined Date 2
,Class2
,Order2
,Family2
,Genero_atual
,Qualificador_atual
,Especie_atual
,Subespecie_atual
,Current 2
,DeterminatorLastName1
,DeterminatorFirstName1
,DeterminatorMiddleInitial1
,DeterminatorLastName2
,DeterminatorFirstName2
,DeterminatorMiddleInitial2
,DeterminationRemark
,DataDaDeterminacao

SemTabela,AssociatedTaxa
,TypeOf (genus)
,Type of (species)
,Tye of (subespecies)
,ColecaoEspecial
,NotasTaxonomicas
,Autor
,Ano descricao
,DataUltimaAtualizacao

CollectingEvent,DataColetaInicial
,DataColetaFinal
,Complemento
,NomeDaLocalidade
,Municipio
,EstadoOuProvincia
,Pais
,Continente
,LocalityRemark
,UtmDatum
,UtmZone
,UtmEasting
,UtmNorthing
,VerbatimLatitude
,VerbatimLongitude
,Lat
,Long
,PrecisaoDaCoordenada
,FonteParaGeorreferenciamento
,DescricaoDoProcedimentoDeGeorreferenciamento
,GrupoDeColeta
,MinAltitude
,MaxAltitude
,CollectingInformationRemark
,CollectorLastName1
,CollectorFirstName1
,CollectorMiddleName1
,CollectorLastName2
,CollectorFirstName2
,CollectorMiddleName2
,CollectorLastName3
,CollectorFirstName3
,CollectorMiddleName3
,CollectorFirstName4
,CollectorMiddleName4
,CollectorLastName4
,CollectorLastName5
,CollectorFirstName5
,CollectorMiddleName5
,CollectorLastName6
,CollectorFirstName6
,CollectorMiddleName6
,CollectorLastName7
,CollectorFirstName7
,CollectorMiddleName7
,CollectorLastName8
,CollectorFirstName8
,CollectorMiddleName8
,CollectorRemark
,Observac›es
,DataVerbatim

AccessionAgent,DoadosPor
,PermutaEntrada

DeaccessionAgent,DoadosPara

Deaccession,PermutaSaida
,Desdobramento

Collection Object Attribute,Massa
,CRC
,Sexo
,EstagioDeVida
,CollectionObjectAttributeRemarks
,Medidas
,CollectionObjectAttribute_Count

Preparation,PrepType1
,PrepType2
,PrepType3
,Preparation
,Preparacao 2
,Preparacao 3
,PreparacaoRemark
,Remarks 2
,Remarks 3
,PreparationCount
,Count 2
,Count 3

Preparation Attribute,DataDaMorte
